Ticker,Days,Date,Return,GDX Return,Net Return Delta,Z-score of Net Return Delta
"DSV,Toronto",330,2026-01-27,660.26%,175.22%,485.04%,107.51
"MAU,Toronto",360,2026-02-25,584.26%,179.93%,404.33%,122.96
"USA,Toronto",330,2026-01-27,1725.71%,175.22%,1550.49%,160.36
"USA,Toronto",360,2026-02-25,1642.86%,179.93%,1462.93%,151.30
"ASM,Toronto",330,2026-01-27,691.57%,175.22%,516.35%,108.71
"SCZ,Venture",300,2025-12-24,3457.89%,125.89%,3332.01%,170.98
"SCZ,Venture",330,2026-01-27,5807.89%,175.22%,5632.67%,289.11
"SCZ,Venture",360,2026-02-25,4339.47%,179.93%,4159.54%,213.47
"PGDC,Venture",330,2026-01-27,2180.00%,175.22%,2004.78%,162.49
"PGDC,Venture",360,2026-02-25,1700.00%,179.93%,1520.07%,123.18
"WGO,Venture",330,2026-01-27,757.14%,175.22%,581.92%,112.65
"WGO,Venture",360,2026-02-25,842.86%,179.93%,662.93%,128.34
"SLG,Venture",360,2026-02-25,1546.15%,179.93%,1366.22%,147.91
"PPX,Venture",240,2025-10-27,933.33%,83.33%,850.00%,102.33
"PPX,Venture",330,2026-01-27,1200.00%,175.22%,1024.78%,123.39
"AGMR,Venture",300,2025-12-24,8077.78%,125.89%,7951.89%,100.93
"AGMR,Venture",330,2026-01-27,11011.11%,175.22%,10835.89%,137.57
"AGMR,Venture",360,2026-02-25,11966.67%,179.93%,11786.74%,149.64
"GG,Venture",300,2025-12-24,715.62%,125.89%,589.74%,102.55
"GG,Venture",330,2026-01-27,946.88%,175.22%,771.65%,134.22
"GG,Venture",360,2026-02-25,1075.00%,179.93%,895.07%,155.70
"ROCK,Venture",60,2025-05-01,10809.09%,18.86%,10790.23%,132.62
"ROCK,Venture",90,2025-06-02,11536.36%,35.41%,11500.96%,141.36
"ROCK,Venture",120,2025-07-02,12990.91%,32.61%,12958.30%,159.29
"ROCK,Venture",150,2025-07-25,12627.27%,32.44%,12594.84%,154.82
"ROCK,Venture",180,2025-08-26,12990.91%,55.12%,12935.78%,159.01
"ROCK,Venture",210,2025-09-25,17354.55%,84.16%,17270.39%,212.32
"ROCK,Venture",240,2025-10-27,17718.18%,83.33%,17634.85%,216.81
"ROCK,Venture",270,2025-11-25,31172.73%,96.32%,31076.40%,382.13
"ROCK,Venture",300,2025-12-24,37536.36%,125.89%,37410.48%,460.04
"ROCK,Venture",330,2026-01-27,55536.36%,175.22%,55361.14%,680.83
"ROCK,Venture",360,2026-02-25,64445.45%,179.93%,64265.53%,790.35
"LG,Venture",360,2026-02-25,1416.67%,179.93%,1236.74%,166.55
